start_station_name,lat,lon
Dauphin Ave & 103rd St,41.7072503677818,-87.60766267776489
Throop St & Taylor St,41.868968,-87.659141
Greenwood Ave & 97th St,41.71870315475741,-87.59703576564789
Harlem & Irving Park,41.95,-87.81
Broadway & Argyle St,41.973815,-87.65966
Calumet Ave & 51st St,41.80229465088,-87.6180535802
Lakefront Trail & Wilson Ave,41.965845,-87.645361
MLK Jr Dr & 63rd St,41.78008063659,-87.6159428567
Francisco Ave & Foster Ave,41.97564833333333,-87.70148016666667
Keystone Ave & Fullerton Ave,41.92459,-87.72785
MLK Jr Dr & 56th St,41.79342945658,-87.6158532619
Montrose Harbor,41.963982,-87.638181
Southport Ave & Irving Park Rd,41.954177,-87.664358
Buckingham Fountain,41.876506329,-87.620287776
Houston Ave & 92nd St,41.72820421535798,-87.54970014095306
Sawyer Ave & Irving Park Rd,41.95358617895,-87.7093107999
N Carpenter St & W Lake St,41.89,-87.65
Kedzie Ave & 45th St,41.81,-87.7
Kedzie Ave & Chicago Ave,41.895489335,-87.706148148
Jefferson St & Monroe St,41.880329633634624,-87.64274597167967
Lavergne Ave & 46th St,41.81,-87.75
State St & 19th St,41.856594,-87.627542
Indiana Ave & 40th St,41.82168,-87.6216
Orleans St & Elm St,41.90289716666667,-87.637656
W Oakdale Ave & N Broadway,41.94,-87.64
MLK Jr Dr & 47th St,41.809851,-87.616279
Monticello Ave & Irving Park Rd,41.953988791,-87.718927979
Homewood Ave & 115th St,41.68459507202618,-87.67070800065994
Mies van der Rohe Way & Chicago Ave,41.896944626370825,-87.62175768613815
Southport Ave & Clark St,41.957081,-87.664199
Broadway & Cornelia Ave,41.945529,-87.646439
Halsted St & 69th St,41.76906172032,-87.6446135779
Damen Ave & Pershing Rd,41.823192,-87.676597
Wentworth Ave & 63rd St,41.78007963264,-87.6297463052
Wabash Ave & Cermak Rd,41.852619,-87.626488
Prairie Ave & Garfield Blvd,41.794853,-87.618691
Museum of Science and Industry,41.791728,-87.583945
Sheridan Rd & Greenleaf Ave,42.01058656284,-87.6624120948
Benson Ave & Church St,42.048214,-87.683485
Western Ave & Granville Ave,41.99416136902,-87.689438282
Chicago Ave & Sheridan Rd,42.050491,-87.677821
Ridge Blvd & Touhy Ave,42.012183189,-87.682951093
Sheffield Ave & Willow St,41.91384983333333,-87.65294533333334
